OBJECTID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,WEBSITE,OWNER,OPERNAME,CAPACITY,US_RANK,CRUDE,IMAGE
31,LOS ANGELES (WILMINGTON PLANT),2101 E PACIFIC COAST HIGHWAY,WILMINGTON,CA,MEDIUM SIZED COMPLEX REFINERY,IN SERVICE,520,LOS ANGELES,33.79637,-118.23297,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,94900,67,94900,https://drive.google.com/uc?id=1gnZ0ARi5K8GK5gYwg-X9Wq8l_AP3NG8P
32,NORTH SALT LAKE,333 W CENTER STREET,NORTH SALT LAKE,UT,SMALL BUT MEDIUM COMPLEX REFINERY FOCUSED ON GASOLINE PRODUCTION,IN SERVICE,146,DAVIS,40.83864,-111.92062,http://www.bigwestoil.com,FJ MANAGEMENT INC,BIG WEST OIL CO,30500,109,30500,https://drive.google.com/uc?id=1LKhZ9F15l0TZ5L8ua2rXl2QZJ40MoHw8
33,HONOLULU,91-480 MALAKOLE STREET,KAPOLEI,HI,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,203,HONOLULU,21.30988,-158.1118,https://www.islandenergyservices.com,ISLAND ENERGY SERVICES LLC,ISLAND ENERGY SERVICES DOWNSTREAM,54000,98,54000,https://drive.google.com/uc?id=1S38acLfwTOCNvlUmoYevvrRmD_hT3jor
34,BATON ROUGE,4045 SCENIC HIGHWAY,BATON ROUGE,LA,VERY LARGE COMPLEX REFINERY,IN SERVICE,1337,EAST BATON ROUGE,30.4839,-91.17958,http://corporate.exxonmobil.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,502500,4,502500,https://drive.google.com/uc?id=1rE5wpKPnN6yGNpSLPgNxpaTtYURgeF0G
35,WILMINGTON,1660 W. ANAHEIM STREET,WILMINGTON,CA,MEDIUM SIZED COMPLEX REFINERY,IN SERVICE,411,LOS ANGELES,33.77309,-118.28705,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,139000,54,139000,https://drive.google.com/uc?id=1Efw3bhjQmDYOkxr3oaJD2CVrks8dkQus
36,TACOMA,3001 MARSHALL AVENUE,TACOMA,WA,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,170,PIERCE,47.25709,-122.39626,http://www.usor.com,TRAILSTONE LP,US OIL & REFINING CO,40700,103,40700,https://drive.google.com/uc?id=1wovqPhfLq6Kmjfv5_PqdZB0Cv48L5EhE
37,COTTON VALLEY,1756 OLD HWY 7,COTTON VALLEY,LA,SMALL LUBRICANTS REFINERY,IN SERVICE,42,WEBSTER,32.79952,-93.41136,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO LP,13020,125,13020,https://drive.google.com/uc?id=1b5cFzlFN_zqqJpOdfan3BlA541MnzTS4
38,GREAT FALLS,1900 10TH STREET NE,GREAT FALLS,MT,VERY SMALL BUT COMPLEX REFINERY CAPABLE OF PROCESSING THE HEAVIEST CRUDE,IN SERVICE,95,CASCADE,47.52363,-111.29321,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET MONTANA REFINING LLC,33600,108,24000,https://drive.google.com/uc?id=1Kkvq2lHpUvhFb2T5wJP3QMU8mc8gvMH6
39,HOUSTON,12000 LAWNDALE AVE,HOUSTON,TX,VERY LARGE COMPLEX REFINERY,IN SERVICE,983,HARRIS,29.71373,-95.23472,http://www.lyondellbasell.com,ACCESS INDUSTRIES,HOUSTON REFINING LP,263776,20,263776,https://drive.google.com/uc?id=1QHa-rQqSJIwsECbxVx-wc0L3CF6Mlquf
40,BEAUMONT,1795 BURT ST,BEAUMONT,TX,LARGE COMPLEX REFINERY,IN SERVICE,1166,JEFFERSON,30.06365,-94.0689,http://cdn.exxonmobil.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,362300,8,362300,https://drive.google.com/uc?id=1SXeWkYuN1Bi5bk5BvfDTFLrpanhwHJl6
